Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age
11,NCT04355897,CoVID-19 Plasma in Treatment of COVID-19 Patients,,Recruiting,No Results Available,COVID 19,Biological: Convalescent COVID 19 Plasma,Reduce mortality|Reduce requirement for mechanical ventilation.|Reduce the duration of mechanical ventilation.|Review of treatment related adverse events.,The Christ Hospital,All,"18 Years to 80 Years   (Adult, Older Adult)"
12,NCT04412265,Frailty in Elderly Patients With COVID-19,FRA-COVID,Recruiting,No Results Available,Covid19,Other: Relation between frailty and clinical outcomes in elderly patients with COVID-19.,"Development of a tool to measure frailty|A ""proxy"" variable of the fragility index can be built on the basis of regional administrative databases only.|Give elements to focus the screening policies for COVID19.|Give the prevention of contagion at the elderly population level.",University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)"
13,NCT04659759,"COVID-19 Pregnancy Related Immunological, Clinical and Epidemiological Factors and Perinatal Outcomes",COVID-PRICE,Recruiting,No Results Available,Covid19,Other: COVID-19 exposure|Biological: COVID-19 vaccine,Maternal COVID-19 serology (IgG and IgM)|Maternal/neonatal IgG and IgM concordance|Maternal COVID serology time/profile following vaccination|Breastmilk Serology|Cytokine|Neonatal cytokine|COVID disease vs vaccination immune response|COVID vaccine in pregnant vs nonpregnant,Thomas Jefferson University|Nemours,Female,"Child, Adult, Older Adult"
14,NCT04427332,Smell and Taste Disorders in COVID-19 Patients,COVID-19 ORL,Completed,No Results Available,covid19,Other: Investigation of smell and taste disorders,Identification of demographic and clinical factors in covid19 patients.|Description of the disturbances of smell and taste|Description of factors that influence smell and taste,University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)"
15,NCT04842708,Evaluation of Anti-COVID 19 Pfizer Vaccination Effect on COVID 19 Detection Using Breath Analysis,COVID-19,Recruiting,No Results Available,Covid19,Diagnostic Test: vaccination against COVID19,Association between breath VOCs and IgG in blood following second vaccination dose.|Association between VOCs profile and participants' clinical or demographic characteristics,Scentech Medical Technologies Ltd,All,"18 Years to 75 Years   (Adult, Older Adult)"
16,NCT04367805,COVID-19 Infection in Patients With Hepatocellular Carcinoma,COVID19-CHIEF,Recruiting,No Results Available,Hepatocellular Carcinoma|COVID-19,Diagnostic Test: nasopharyngeal Covid 19 RT-PCR,Incidence of COVID-19 infection in patients with hepatocellular carcinoma in France,"Centre Hospitalier Universitaire, Amiens|Centre Hospitalier-Universitaire Bondy|University Hospital, Bordeaux|Centre Hospitalier-Universitaire CLICHY|Centre Hospitalier Général CORBEIL-ESSONNE|CHU CRETEIL|University Hospital, Grenoble|University Hospital, Lille|CHU LYON|Poitiers University Hospital|Rennes University Hospital|University Hospital, Rouen|University Hospital, Toulouse|CHU VILLEJUIF|Central Hospital, Nancy, France|Centre Hospitalier Universitaire de Nice|University Hospital, Montpellier",All,"18 Years and older   (Adult, Older Adult)"
17,NCT04609969,Diagnostic Performance Evaluation of a Novel SARS-CoV-2 (COVID-19) Antigen Detection Test,COVID-VIRO,Completed,No Results Available,Covid19|SARS-CoV-2 Infection,Diagnostic Test: RT-qPCR test|Diagnostic Test: COVID-VIRO® test,Evaluation of COVID VIRO® diagnostic specificity|Evaluation of COVID VIRO® diagnostic sensitivity|Evaluation of COVID VIRO® diagnostic sensitivity for RT-qPCR Cycle threshold value < or > 28,Centre Hospitalier Régional d'Orléans,All,"18 Years and older   (Adult, Older Adult)"
18,NCT04817553,Impact of COVID-19 on the Clinical Outcomes and Management of IgG4 Related Disease Patients,IgG4-COVID,Recruiting,No Results Available,IgG4 Related Disease|Covid19,Other: exposure to COVID19,Incidence of COVID-19 in IgG4 patients with pancreatobiliary involvement|Incidence of severe COVID-19 in IgG4 patients with pancreatobiliary involvement|Medications for the underlying IgG4 disease used when patient was diagnosed to have COVID-19|Risk factors associated with COVID-19 infection in IgG4 patients with pancreatobiliary involvement|Incidence of postponement or discontinuation of indicated medical treatment for the underlying IgG4 disease during COVID-19 outbreak,Chinese University of Hong Kong,All,"18 Years and older   (Adult, Older Adult)"
19,NCT04632355,Musculoskeletal Pain in Patients With Covid-19 Who Have Hospital Care,Covid19-Pain,Not yet recruiting,No Results Available,Covid19,Other: Interview,Self-reported Version of the Leeds Assessment of Neuropathic Symptoms and Signs|PainDETEC|EuroQol-5D|The Hospital Anxiety and Depression Scale,Fondazione Don Carlo Gnocchi Onlus,All,"18 Years and older   (Adult, Older Adult)"
20,NCT04407585,Testing the Accuracy of a Digital Test to Diagnose Covid-19,,Recruiting,No Results Available,Covid-19,Diagnostic Test: Covid-19 swab PCR test,SARS-CoV-2 infection,"King's College London|Zoe Global Limited|Department of Health, United Kingdom",All,"18 Years and older   (Adult, Older Adult)"
21,NCT04657510,Femoral frACturEs and COVID-19.,FACE COVID-19,Recruiting,No Results Available,Covid19|Femur Fracture|Fragility Fracture,Other: COVID-19,Survival at discharge day (comparison between the two groups)|Length of stay (comparison between the two groups)|Readmission rate (comparison between the two groups)|Complications rate (comparison between the two groups)|Survival at 30 days after discharge (comparison between the two groups)|Routine lab exams values (comparison between the two groups),Istituto Ortopedico Galeazzi,All,"45 Years and older   (Adult, Older Adult)"
22,NCT04473170,Study Evaluating the Safety and Efficacy of Autologous Non-Hematopoietic Peripheral Blood Stem Cells in COVID-19,SENTAD-COVID,Completed,No Results Available,Coronavirus Disease 2019 (COVID-19),Biological: Autologous Non-Hematopoietic Peripheral Blood Stem Cells (NHPBSC)|Drug: COVID-19 standard care,Adverse reactions incidence.|Rate of mortality within 28-days.|Time to clinical improvement on a seven-category ordinal scale.|Assessment of the immune response profile.|Assessment of acute-phase serum markers.,Abu Dhabi Stem Cells Center,All,"18 Years and older   (Adult, Older Adult)"
23,NCT04497298,Clinical Trial to Evaluate the Safety and Immunogenicity of the COVID-19 Vaccine,COVID-19-101,"Active, not recruiting",No Results Available,COVID-19,Biological: Two COVID-19 vaccine candidate (TMV-083) administrations - Low dose|Biological: Two COVID-19 vaccine candidate (TMV-083) administrations - High dose|Biological: One COVID-19 vaccine candidate (TMV-083) administration - High dose|Other: Placebo,"To assess the safety and tolerability of the COVID-19 vaccine following one or two consecutive intramuscular injections in healthy volunteers|To assess induction of SARS-CoV-2 spike protein-binding antibodies upon one or two administrations of the COVID-19 vaccine by means of ELISA up to study day 56|To assess induction of SARS-CoV-2 neutralizing antibodies upon one or two administrations of the COVID-19 vaccine by means of serum neutralization assay up to study day 91|To assess SARS-CoV-2 spike protein-specific, cell-mediated immune responses up to study day 91, induced by one or two doses of vaccine, by means of intracellular staining and flow cytometry.|To assess potential measles virus shedding by means of RT-qPCR of saliva, nasal swab, urine, or blood samples in sentinel groups on day 0 and up to day 42",Institut Pasteur|Themis Bioscience GmbH|Coalition for Epidemic Preparedness Innovations,All,18 Years to 55 Years   (Adult)
24,NCT04549831,Genetic Bases of COVID-19 Clinical Variability,GEN-COVID,Recruiting,No Results Available,COVID-19,Genetic: Massive parallel sequencing of host genome,To identify the genetic determinants of COVID-19 severity|To identify the genetic determinants of COVID-19 clinical trajectories.,"University of Siena|Policlinico San Matteo Pavia Fondazione IRCCS|Ospedale San Donato, Arezzo|Ospedale della Misericordia|Azienda Ospedaliera Ospedale Maggiore di Crema|University of Modena and Reggio Emilia|ASST Fatebenefratelli Sacco|Azienda Ospedaliera di Perugia|Ospedale dell'Angelo, Venezia-Mestre|Azienda Ulss 2 Marca Trevigiana|Cardarelli Hospital|Azienda Ospedaliera dei Colli|IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy|Istituto Giannina Gaslini|Istituti Ospitalieri di Cremona|IRCSS Lazzaro Spallanzani, Roma|ASST Santi Paolo e Carlo|ASST Valtellina e Alto Lario|Azienda USL Toscana Sud Est|ULSS1 Dolomiti, Belluno|ASST Spedali Civili, Brescia|IRCCS Casa Sollievo della Sofferenza, San Giovanni Rotondo|Fondazione Policlinico Universitario Agostino Gemelli IRCCS|Ospedale Luigi Curto, Polla|Istituto Auxologico Italiano|CEINGE Biotecnologie Avanzate, Napoli",All,"18 Years and older   (Adult, Older Adult)"
25,NCT04706390,Comparison of the Immune Response to Natural COVID-19 Infection and Vaccination,COVID19vac-1,Recruiting,No Results Available,Covid19,Biological: covid-19 vaccine,immune responses|Duration and breadth of B- and T cell responses|Immune responses in healthy people and patient groups at risk,University of Bergen|Haukeland University Hospital,All,"20 Years to 100 Years   (Adult, Older Adult)"
26,NCT04632719,The MentalPlus® for Assessment and Rehabilitation of Cognitive Function After Remission of the Symptoms of COVID-19,MP-COVID,Recruiting,No Results Available,"Cognitive Impairment|Covid19|Cognitive Dysfunction|Depression, Anxiety|Quality of Life",Device: The use of the MentalPlus® digital game for assessment and rehabilitation of cognitive function after remission of the symptoms of COVID-19,Assessment of cognitive functions after COVID-19|Rehabilitation of cognitive functions after COVID-19,University of Sao Paulo,All,"8 Years to 88 Years   (Child, Adult, Older Adult)"
27,NCT04427345,Predictive Factors COVID-19 Patients,MI-COVID,Recruiting,No Results Available,covid19,Other: Predictive factors for clinical response in patients with COVID-19.,"Identify risk factors for intra-hospital mortality.|Identify risk factors to build a prognostic score.|Predictive factors for the hospitalization duration.|Predictive factors for clinical status patients based on ""Ordinal Scale for Clinical Improvement""|Describe the anti-viral therapies used commonly in this emergency in terms of efficacy|Describe the anti-viral therapies used commonly used in this emergency in terms of safety|Monitor the clinical course of the disease in discharged patients.",University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)"
28,NCT04424004,MURDOCK Cabarrus County COVID-19 Prevalence and Immunity (C3PI) Study,C3PI,"Active, not recruiting",No Results Available,COVID 19,Other: COVID-19 PCR and serology testing,"Estimate the prevalence of COVID-19 infection based on responses to questionnaire items on symptoms and practices using a biweekly electronic survey.|Assess perceptions, concerns, and practices related to the COVID-19 pandemic and mitigation strategies|Estimate of the prevalence of active infection in Cabarrus County.|Estimate of the prevalence of exposure and potential immunity to COVID-19.",Duke University|North Carolina Department of Health and Human Services,All,"18 Years and older   (Adult, Older Adult)"
29,NCT04407494,Diagnostic Value of Patient - Reported and Clinically Verified Olfactory Disorders (COVID-19),COVID-OLFA,Completed,No Results Available,COVID-19,"Biological: Reporting of anosmia, ageusia and other clinical symptoms",Diagnostic values of anosmia and ageusia for COVID-19|Diagnostic values of CODA,"University Hospital, Montpellier",All,"18 Years and older   (Adult, Older Adult)"
30,NCT04360811,"Assessment of Obstetric, Fetal and Neonatal Risks and Vertical SARS-CoV-2 Transmission During COVID-19 Pandemic",COroFet,Recruiting,No Results Available,Pregnancy,Diagnostic Test: COVID 19 diagnostic test by PCR,number of positive COVID-19 women,"University Hospital, Toulouse",Female,"18 Years and older   (Adult, Older Adult)"
31,NCT04403672,Performance Evaluation of RealDetect™ COVID-19 RT-PCR Kit for the Detection of SARS-CoV-2 Virus,,Recruiting,No Results Available,High Sensitivity and Specificity (With 95% Confidence Interval) of RealDetect™ COVID-19 RT-PCR Kit,Device: performance evaluation study of RealDetect RT-PCR Kit for COVID-19 detection,Performance evaluation of RealDetect™ COVID-19 RT-PCR kit|Reduce the price of RT-PCR based COVID-19 diagnostic test kits.,Bangladesh Medical Research Council (BMRC),All,"5 Years to 65 Years   (Child, Adult, Older Adult)"
32,NCT04363099,Multicentre Observational Study on Management COVID 19 Positive Outpatients in a French Cluster.,COVID AMBU 60,Recruiting,No Results Available,Covid-19,Other: observational,clinical description of covid 19 ambulatory cases.|Biological and radiological description of ambulatory cases|Prevalence of positive cases (PCR and/or serological positive),Maison de Sante Pluridisciplinaire de Creil,All,"up to 99 Years   (Child, Adult, Older Adult)"
33,NCT04377425,COVID-19 Prevalence and Cognitive Deficits in Neurological Patients,Neuro-Covid,Withdrawn,No Results Available,"Neurological Diseases or Conditions|Stroke, Acute|Seizure Disorder",Diagnostic Test: COVID-19 swap test PCR,Prevalence of COVID-19 infection in consecutive patients with neurological symptoms|Three months cognitive function of COVID-19 positive patients|Clinical presentation of neurological symptoms in COVID-19 positive patients|Prevalence of pre- and asymptomatic COVID-19 positive patients in acutely admitted neurological patients|Anosmia in COVID-19 positive patients|Exploratory analysis on neuro-specific and inflammatory blood and cerebrospinal fluid markers of COVID-19 infection|Exploratory analysis of the coagulation profile of COVID-19 positive patients compared to COVID-19neg patients,Aarhus University Hospital,All,"18 Years and older   (Adult, Older Adult)"
34,NCT04602871,Early Detection of COVID-19 Using Breath Analysis - Feasibility Study,COVID-19,Completed,No Results Available,Covid19,Diagnostic Test: Breath Biopsy,Correlation between Volatile Organic Compounds pattern in-breath biopsy and COVID-19 detection.|Correlation between Volatile Organic Compounds pattern and the course of the disease,Scentech Medical Technologies Ltd,All,"18 Years to 75 Years   (Adult, Older Adult)"
35,NCT04691895,Gastrointestinal Symptoms in COVID-19,,"Active, not recruiting",No Results Available,COVID19 Disease,Other: SARS-CoV2 infection,Prevalence of gastrointestinal symptoms in patients admitted to hospital for COVID19 disease as assessed by GSRS questionnaire|Prognosis of gastrointestinal symptoms in patients admitted to hospital for COVID19 disease|Long term consequences of COVID-19 on gastrointestinal symptoms on the development of post-infection (PI) irritable bowel syndrome (IBS).|long term consequences of COVID-19 on gastrointestinal symptoms on the development of post-infection (PI) dyspepsia.|Identification of risk factors for post-infection gastrointestinal symptom development.,University of Bologna,All,"18 Years to 85 Years   (Adult, Older Adult)"
36,NCT04645498,COVID-19 and Hereditary Metabolic Diseases,COVID19-MHM,Not yet recruiting,No Results Available,"Covid19|Metabolism, Inborn Errors",,Frequency of MHM imbalance triggered by COVID-19|Number of COVID-19 patients in Gaucher's disease|Number of COVID-19 patients in Urea Cycle Disorder|Severity of COVID-19 infection,"University Hospital, Lille",All,"Child, Adult, Older Adult"
37,NCT04747821,An Effectiveness Study of the Sinovac's Adsorbed COVID-19 (Inactivated) Vaccine,Projeto S,"Active, not recruiting",No Results Available,Covid19,Biological: Adsorbed COVID-19 (Inactivated) Vaccine,Incidence of COVID-19 cases after two-doses immunization schedule in clusters in the first quarter of study|Incidence of COVID-19 cases after two-doses immunization schedule in clusters up to one year of study|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to immunization status|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to pre-existing SARS-CoV-2 antibodies|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to immunization coverage|Incidence of hospitalization and death due to COVID-19 after two-doses immunization schedule in clusters|Change in average number of reported COVID-19 cases in the study area in comparison to other neighboring cities|Medically-attended adverse reactions to the study vaccine|Frequency of severe COVID-19 cases|Frequency of adverse events of special interest after immunization|Acceptability of the study vaccine|Adherence to vaccination schedule,Butantan Institute,All,"18 Years and older   (Adult, Older Adult)"
38,NCT04372004,Comparison of the Efficacy of Rapid Tests to Identify COVID-19 Infection (CATCh COVID-19),CATCH COVID-19,Recruiting,No Results Available,COVID-19,Diagnostic Test: diagnostic tests for COVID-19 infection,detection of viral infection using serology and viral-RNA detection kits|Temporal trend of antibodies in blood,Texas Cardiac Arrhythmia Research Foundation,All,"18 Years to 85 Years   (Adult, Older Adult)"
39,NCT04377685,Prediction of Clinical Course in COVID19 Patients,COVID-CTPRED,Recruiting,No Results Available,COVID 19,Other: CT-Scan,diagnostic of COVID disease composite,"Centre Hospitalier Universitaire de Saint Etienne|Institut National des Sciences Appliquées (INSA)|Institut National de la Santé Et de la Recherche Médicale, France|Centre National pour le Recherche Scientifique (CNRS)|Université de Lyon|Université Jean Monnet",All,"18 Years and older   (Adult, Older Adult)"
40,NCT04717011,Case Series Study to Detect SARS-CoV-2 in Semen of COVID-19 Patients,COVID-19CAST,Recruiting,No Results Available,SARS-CoV-2,Diagnostic Test: PCR test,SARS-CoV-2 semen result,Igenomix,Male,"18 Years to 65 Years   (Adult, Older Adult)"
41,NCT04412486,COVID-19 Convalescent Plasma (CCP) Transfusion,,Recruiting,No Results Available,COVID-19,Biological: COVID Convalescent Plasma,Change in PaO2/FiO2 after CCP transfusion.|Change in pulse oximetry status after CCP transfusion.|Change in aO2 after CCP transfusion.|Change in respiratory rate after CCP transfusion.|Change in intubation status after CCP transfusion.|Change in Sequential Organ Failure Assessment (SOFA).|Change in 8-point ordinal clinical deterioration scale.|Length of ICU/hospital stay.|Development of plasma transfusion reactions.|Development of immune complex disorders.|Change in anti CoV-2 IgM and IgG levels.,"Gailen D. Marshall Jr., MD PhD|University of Mississippi Medical Center",All,"18 Years and older   (Adult, Older Adult)"
42,NCT04581135,Study to Investigate Long-term Pulmonary and Extrapulmonary Effects of COVID-19,,Recruiting,No Results Available,COVID-19,Other: COVID-19,Pulmonary follow-up sequelae in patients after COVID-19|Evaluation of risk factors for adverse Outcome after COVID-19|Compare the functional Pulmonary outcome of COVID-19 disease|Compare the radiological Pulmonary outcome of COVID-19 disease|Quality of Life after COVID-19|Physical performance after COVID-19 using Clinical Frailty Scale|Physical performance after COVID-19 using frailty assessment tests|Microbiota and COVID-19,"University Hospital Inselspital, Berne",All,"18 Years and older   (Adult, Older Adult)"
43,NCT04387968,"Epidemiological Study of the Covid-19 Presto Test - The ""COVIDOR"" Study",COVIDOR,Recruiting,No Results Available,Coronavirus Infection,Diagnostic Test: Covid-19 presto test,"Study the prevalence of Covid-19 infection, coronavirus (SARS coronavirus-2) in territorial agents in the 3 structures : CCTVL, Loire Valley Region Centre, Orleans Metropolitan city|Determine if there is a relationship between the profession carried out by the agents of the territorial community of Orleans metropolitan city, the Loire Valley Region, the CCTVL and contamination by covid-19","Raphael Serreau|François Rabelais University|Assistance Publique - Hôpitaux de Paris|University Hospital, Paris|Orléans Métropole Service de Médecine Préventive",All,"18 Years to 65 Years   (Adult, Older Adult)"
44,NCT04845048,Active Pharmacovigilance Study of Adsorbed COVID-19 (Inactivated) Vaccine,,Not yet recruiting,No Results Available,Covid19,Biological: Adsorbed COVID-19 (Inactivated) Vaccine,Incidence of adverse events after receiving the Adsorbed COVID-19 (inactivated) Vaccine|Reactogenicity of Adsorbed COVID-19 (inactivated) Vaccine|Safety of Adsorbed COVID-19 (inactivated) Vaccine|safety of Adsorbed COVID-19 (inactivated) Vaccine,Butantan Institute,All,"18 Years and older   (Adult, Older Adult)"
45,NCT04490837,Rapid Diagnostic Test for COVID-19 Based on Antibody Detection (YCOVID),YCOVID,"Active, not recruiting",No Results Available,Covid-19,Diagnostic Test: ELISA and Rapid test to detect antibodies against COVID-19,IgG anti-COVID-19|IgM anti-COVID-19|IgA anti-COVID-19|Time of onset symptoms|COVID-19 PCR results|Radiological studies,Corporacion Parc Tauli,All,"18 Years and older   (Adult, Older Adult)"
46,NCT04834908,Evaluation of Equine Antibody Treatment in Patients With COVID 19 Infection,PROTECT,Not yet recruiting,No Results Available,SARS-CoV-2 Infection,Biological: Equine COVID-19 Antiserum|Drug: Standard of care,Phase 1 Unexpected serious adverse events|Phase 2 Patients turning COVID-19 negative (RT-PCR negative)|Phase 2 Patients turning COVID-19 negative (RT-PCR Negative)|Phase 1 Patients turning COVID-19 negative (RT-PCR Negative)|Phase 1 Exploratory outcome|Phase 1-Exploratory outcome|Phase 1- Exploratory outcome|Phase 2 Unexpected serious adverse events|Phase 2 Change in WHO clinical progression scale,Bharat Serums and Vaccines Limited,All,"18 Years to 65 Years   (Adult, Older Adult)"
47,NCT04730401,Convalescent Plasma in the Treatment of Covid-19,CP_COVID-19,Recruiting,No Results Available,Covid19,Biological: Convalescent plasma from COVID-19 donors|Biological: Placebo,Safety (SAE)|Rate of intubation|Number of participants initiating systemic corticosteroids|Hospital stay|Mortality|ICU stay|Ventilator days|Severity of respiratory failure|Viral load|Antibody measurements|Thrombotic complication|The rate of participants presenting with coagulopathy disorders|Number of participants with laboratory change|Adverse effects|Convalescent plasma efficacy|Convalescent plasma high vs low titer efficacy|Convalescent plasma efficacy according to donor status,Helsinki University Central Hospital|Finnish Red Cross,All,"18 Years and older   (Adult, Older Adult)"
48,NCT04799444,LATE-COVID/LATE-COVID-Kids - Observational Study in Children and Adults,LATE-COVID,Recruiting,No Results Available,Covid19,,Number of participants with severe post-COVID-19 complications|Factors related to the severity of post-COVID-19 complications,Polish Mother Memorial Hospital Research Institute,All,"Child, Adult, Older Adult"
49,NCT04425707,Ivermectin In Treatment of COVID 19 Patients,,Recruiting,No Results Available,Covid19,Drug: Ivermectin,to evaluate the role of Ivermectin as a line of treatment for COVID 19|To asses the rate of viral clearance in comparison to other treatment protocols.,"Ministry of Health and Population, Egypt",All,"18 Years and older   (Adult, Older Adult)"
50,NCT04356560,COVID-19 Surveillance of Patients and Healthcare Workers in a Hospital Department,,Enrolling by invitation,No Results Available,COVID-19,"Diagnostic Test: COVID-19 test, polymerase chain reaction for SARS-CoV-2",Incidence of healthcare workers with SARS-CoV-2|Incidence of ENT patients with SARS-CoV-2|Development of SARS-CoV-2 antibodies among healthcare workers|Sensitivity and specificity of a COVID-19 screening symptom questionnaire among healthcare workers|SARS CoV-2 and bacterial super infections in upper respiratory airways,"Rigshospitalet, Denmark",All,"Child, Adult, Older Adult"
51,NCT04598620,Non-invasive Prognostication of COVID-19 Patients by Use of Biomarkers in Exhaled Breath Condensate,VTE-COVID-19,Recruiting,No Results Available,Covid19|Corona Virus Infection,,Prediction of admission to ICU in hospitalized COVID-19 patients|Pathophysiology in COVID-19 patients,Inger Lise Gade|Aarhus University Hospital Skejby|Aalborg University Hospital,All,"18 Years and older   (Adult, Older Adult)"
